Date,Open,High,Low,Close,Adj Close,Volume
2015-06-17,78.036545,78.206123,77.717339,78.036545,78.036545,64022
2015-06-18,78.006622,78.256004,77.717339,78.006622,78.006622,84463
2015-06-22,77.308350,78.305878,77.068947,77.308350,77.308350,172681
2015-06-23,76.709839,77.418083,76.310822,76.709839,76.709839,78744
2015-06-24,75.822037,76.809586,75.722282,75.822037,75.822037,92924
2015-06-25,74.734734,76.031517,74.684853,74.734734,74.734734,133611
2015-06-26,75.812057,76.809586,74.814537,75.812057,75.812057,132497
2015-06-29,74.674881,75.093842,74.674881,74.674881,74.674881,77329
2015-06-30,75.413048,75.512802,74.824509,75.413048,75.413048,88835
2015-07-01,77.408104,78.056496,74.994087,77.408104,77.408104,186226
2015-07-02,77.398132,78.734818,76.809586,77.398132,77.398132,126663
2015-07-03,76.600105,77.408104,75.622528,76.600105,76.600105,142893
2015-07-06,75.602577,76.699860,74.814537,75.602577,75.602577,86918
2015-07-07,76.250977,76.350723,75.812057,76.250977,76.250977,42304
2015-07-08,74.814537,77.298378,73.817009,74.814537,74.814537,197468
2015-07-09,73.517746,74.804558,72.081306,73.517746,73.517746,140906
2015-07-10,73.517746,73.517746,73.517746,73.517746,73.517746,0
2015-07-13,75.901840,76.300850,73.817009,75.901840,75.901840,189178
2015-07-14,74.814537,76.809586,74.814537,74.814537,74.814537,156260
2015-07-15,75.073891,75.113792,74.315773,75.073891,75.073891,50915
2015-07-16,75.313301,76.310822,74.824509,75.313301,75.313301,78844
2015-07-17,76.480408,76.749741,75.213547,76.480408,76.480408,66722
2015-07-20,80.101425,82.415688,76.221046,80.101425,80.101425,532834
2015-07-21,82.016678,83.393265,80.091454,82.016678,82.016678,391613
2015-07-22,83.493019,84.789803,81.298462,83.493019,83.493019,298969
2015-07-23,80.600189,84.490547,79.812141,80.600189,80.600189,292573
2015-07-24,77.817093,81.298462,77.817093,77.817093,77.817093,154231
2015-07-27,74.295822,78.535309,71.323189,74.295822,74.295822,377751
2015-07-28,75.113792,75.113792,72.619972,75.113792,75.113792,142538
2015-07-29,74.814537,75.113792,74.315773,74.814537,74.814537,105315
2015-07-30,74.365646,75.692360,74.335724,74.365646,74.365646,103964
2015-07-31,73.417999,75.083870,72.849403,73.417999,73.417999,135284
2015-08-03,73.527725,74.106293,72.829453,73.527725,73.527725,77810
2015-08-04,71.402992,73.817009,70.525169,71.402992,71.402992,157092
2015-08-05,70.794502,71.402992,69.926651,70.794502,70.794502,154633
2015-08-06,69.228378,70.824425,69.228378,69.228378,69.228378,122121
2015-08-07,64.839264,69.228378,64.540009,64.839264,64.839264,329641
2015-08-10,64.340500,64.839264,60.869106,64.340500,64.340500,554491
2015-08-11,65.627312,68.719643,63.841736,65.627312,65.627312,237156
2015-08-12,63.293095,65.617332,62.445198,63.293095,63.293095,124545
2015-08-13,62.544952,64.639755,61.856655,62.544952,62.544952,283962
2015-08-14,60.330441,62.644703,58.654594,60.330441,60.330441,753387
2015-08-17,62.734482,63.582378,59.851627,62.734482,62.734482,633416
2015-08-18,61.088562,62.634727,60.051132,61.088562,61.088562,173680
2015-08-19,58.534893,60.998783,58.355335,58.534893,58.534893,411116
2015-08-20,58.854099,60.150887,57.657066,58.854099,58.854099,214364
2015-08-21,55.163250,58.295486,54.165722,55.163250,55.163250,360622
2015-08-24,49.776604,54.873966,45.048325,49.776604,49.776604,630277
2015-08-25,49.876354,49.876354,46.883774,49.876354,49.876354,306639
2015-08-26,53.866467,53.866467,49.876354,53.866467,53.866467,322960
2015-08-27,59.352863,59.352863,53.487404,59.352863,59.352863,488988
2015-08-28,67.053772,68.001427,59.841652,67.053772,67.053772,774493
2015-08-31,79.103905,80.799698,67.063751,79.103905,79.103905,1578130
2015-09-01,77.657486,81.248581,75.841988,77.657486,77.657486,637261
2015-09-02,80.999199,81.298462,72.819481,80.999199,80.999199,762415
2015-09-03,84.979340,85.079086,81.009178,84.979340,84.979340,558903
2015-09-04,82.355843,87.163918,80.799698,82.355843,82.355843,684006
2015-09-07,84.789803,85.089066,80.510414,84.789803,84.789803,340812
2015-09-08,84.680077,85.378349,83.592773,84.680077,84.680077,297138
2015-09-09,83.692528,87.971916,82.794754,83.692528,83.692528,443007
2015-09-10,85.278595,86.036713,81.797226,85.278595,85.278595,298918
2015-09-11,84.231194,84.759880,83.522949,84.231194,84.231194,126693
2015-09-14,86.764908,87.084122,84.191292,86.764908,86.764908,390746
2015-09-15,87.283623,88.350975,85.298546,87.283623,87.283623,429742
2015-09-16,96.061859,96.061859,86.784859,96.061859,96.061859,813667
2015-09-17,92.241333,99.722786,91.074226,92.241333,92.241333,806183
